name,principal,driver_loyalty,expectation_level
Solari Motorworks,Marcus Thornhill,,
Titanium Endurance Racing,Laurent Beaumont,,
Orion Automotive,Wolfgang Bauer,,
Nexus Prototype Racing,Elena Rodriguez,,
Zenith Autosport,James Harrington,,
Nova Aero,Yuki Tanaka,,
Catalyst Motorsports,Adriana Silva,,
Atlas Racing Group,Dimitri Volkov,,
Garnet Motorsport,Amanda Pearson,,
Ironwood Performance,Olivia Zhang,,
Vanguard Motorsport Group,Sebastian Wolff,,
Stuttgart Performance Engineering,Sebastian Wolff,,
Blackwood Racing Systems,Marco Bianchi,,
Apex Precision Competizione,Lars Eriksen,,
Kaiser-Wolff Racing,Pieter van Dijk,,
Rennsport Global Division,Pieter van Dijk,,
Vector Dynamics Racing,Pierre Lefèvre,,
Elysium GT Racing,Alexander Hayes,,
Circuitus Legacy Racing,Maria Gonzales,,
Schwarzwald Racing Group,Kristina Novak,,
Blue Ridge Mini Team,Tyler Brooks,,
Liberty Motorsports,Benjamin Wright,,
Atlantic Racing Union,Liam O'Connor,,
Scuderia Corsa International,Anthony Russo,,
Maranello Global Partners,David Chen,,
Exotic Motors Alliance,Robert Harrison,,
Cavalieri Rosso Group,William Kowalski,,
Heritage Racing Collective,James Patterson,,
Tridente Global Competizione,Thomas Wright,,
Fox-Davies Preparations,Robert Fox-Davies,,
Cotswold Precision Racing,Sarah Mitchell,,
TCR,David Thompson,,
Sterling Performance Group,James Sterling,,
Pendle Hill Motorsport,Andrew Harrison,,
Apex-Works North,Michael Ashworth,,
Breakell-Lane Engineering,Peter Breakell,,
Velocity UK Developments,Emma Richardson,,
Meridian Cup Racing,Christopher Wade,,
High Plains Speedworks,Marcus Webb,,
Palmetto State Racing,Travis Coleman,,
Summit Peak Motorsports,Rebecca Sawyer,,
Brickyard Performance Lab,Alan Foster,,
Gulf Coast Competition,Miguel Rodriguez,,
Granite State Garage,Dale Winters,,
Lone Star Aero-Sport,Carson Hayes,,
Golden Gate Racing Group,Jennifer Chen,,
Bayside Trackside Services,Tommy Sullivan,,
Eiger Sport Management,Stefan Müller,,
Adria Motorsport Venture,Matteo Valenti,,
Alpine Track Operations,Olivier Bernard,,
Via-Marelli Competizione,Isabella Marelli,,
Arcane Racing Group,Jasper van der Meer,,
Kinetix European Racing,Lukas Bergmann,,
Sovereign GT Stable,Alistair Thorne,,
Vitesse Pro-Racing,Jean-Paul Laurent,,
Lemanic Motorsport,Christophe Dumont,,
Astraea Endurance,Eleni Papadakis,,
Red Bull Racing,Laurent Mekies,,
Mercedes-AMG,Toto Wolff,,
Scuderia Ferrari,Frédéric Vasseur,,
McLaren Racing,Zac Brown,,
Aston Martin,Andy Cowell,,
Alpine,Steve Nielsen,,
Audi,Jonathan Wheatley,,
Racing Bulls,Alan Permane,,
Haas,Ayao Komatsu,,
Williams Racing,James Vowles,,
Vauquelin Grand Prix,Marc-André Vauquelin,,
Scuderia Valeriani,Luca Valeriani,,
Nordic Speed Academy,Søren Lindberg,,
Ecurie Belge Developpement,Guy Hendrickx,,
Reinhardt Rennsport,Klaus Reinhardt,,
Luzern Precision Engineering,Beat Steiner,,
Aragon Motorsport United,Javier Solana,,
Thames Valley Preparations,Arthur Miller,,
Vistula Racing Lab,Mateusz Zieliński,,
Helvetia Junior Team,Stefan Eberhard,,
Olympus Euro-Racing,Adonis Karalis,,
Cote d'Azur Competizione,Fabien de Rossi,,
Pannonian Speed Group,László Kovács,,
Team Penske,Jonathan Diuguid,,
Chip Ganassi Racing,Chip Ganassi,,
Andretti Global,Dan Towriss,,
A. J. Foyt Racing,Larry Foyt,,
Rahal Letterman Lanigan Racing,Bobby Rahal,,
Meyer Shank Racing,Michael Shank,,
Ed Carpenter Racing,Ed Carpenter,,
Dale Coyne Racing,Dale Coyne,,
Juncos Hollinger Racing,Ricardo Juncos,,
Prema Racing,Piers Phillips,,
Dreyer & Reinbold Racing,Dennis Reinbold,,
HMD Motorsports,Mike Maurini,,
Abel Motorsports,Bill Abel,,
Cape Motorsports,Nicholas Cape,,
Cusick Morgan Motorsports,Don Cusick,,
Loomis-Vance Racing,Sterling Vance,,
The 405 Garage,James McAllister,,
Sawgrass Performance Group,Elena Rodriguez,,
Flint Hills Raceworks,Caleb Sterling,,
Garrison-Hague Motorsport,Alistair Hague,,
