championship_name,track_id,name,month,week_end,mandatory,type,duration,start_time
British GT Championship,Silverstone_GP,Silverstone 500,4,4,TRUE,time,180,12:00
British GT Championship,OultonPark_International,Oulton Park Race 1,5,4,TRUE,time,60,
British GT Championship,OultonPark_International,Oulton Park Race 2,5,4,TRUE,time,60,
British GT Championship,Spa_Francorchamps_2022,Spa-Francorchamps,6,3,TRUE,time,120,
British GT Championship,Donington_Nat,Donington Park Sprint,8,3,TRUE,time,60,
British GT Championship,Silverstone_2001_International,Silverstone Sprint,8,4,TRUE,time,60,
British GT Championship,Donington_GP,Donington Park,9,1,TRUE,time,120,
British GT Championship,BrandsHatch_GP,Brands Hatch,9,4,TRUE,time,120,
European Le Mans Series,Circuit_de_Catalunya_GP,4 Hours of Barcelona,4,2,TRUE,time,240,
European Le Mans Series,Le_Mans_24h,4 Hours of Le Mans,5,1,TRUE,time,240,
European Le Mans Series,Imola_GP_2018,4 Hours of Imola,7,1,TRUE,time,240,
European Le Mans Series,Spa_Francorchamps_2022,4 Hours of Spa,8,4,TRUE,time,240,
European Le Mans Series,Silverstone_GP,4 Hours of Silverstone,9,2,TRUE,time,240,
European Le Mans Series,Nurb_GP_2020,4 Hours of Nürburgring,10,2,TRUE,time,240,
F1600,Road_Atlanta_2005_short,Peach State Prelude,3,4,TRUE,time,25,
F1600,Sebring_Club,Concrete Gauntlet,4,3,TRUE,time,25,
F1600,Virginia_North,Oak Tree Open,5,2,TRUE,time,25,
F1600,Gateway_RC1,Archway Dash,6,1,TRUE,time,25,
F1600,Daytona_Road_Course,Tri-Oval Tussle,6,3,TRUE,time,25,
F1600,Virginia_South,Piedmont Pursuit,7,2,TRUE,time,25,
F1600,Watkins_Glen_S,Finger Lakes Flyer,8,3,TRUE,time,25,
F1600,Road_America_RC,The Kettle Moraine Cup,9,1,TRUE,laps,13,
Ferrari Challenge Europe,Nurb_GP_2020,Nürburgring,4,2,TRUE,time,30,
Ferrari Challenge Europe,Azure_Circuit_2021,Monaco,5,2,FALSE,time,30,
Ferrari Challenge Europe,Circuit_de_Catalunya_GP,Barcelona,6,1,TRUE,time,30,
Ferrari Challenge Europe,Spielberg_Modern,Spielberg,6,3,FALSE,time,30,
Ferrari Challenge Europe,Spa_Francorchamps_2022,Spa-Francorchamps,7,2,TRUE,time,30,
Ferrari Challenge Europe,Hungaroring_GP_2025,Mogyoród,7,2,FALSE,time,30,
Ferrari Challenge Europe,Monza_2020,Monza,8,1,TRUE,time,30,
Ferrari Challenge Europe,Silverstone_GP,Silverstone,9,1,TRUE,time,30,
Ferrari Challenge Europe,Bathurst_2020,Bathurst Special,9,2,FALSE,time,30,
Ferrari Challenge Europe,Imola_GP_2018,Finale at Imola,10,1,TRUE,time,30,
Ferrari Challenge North America,Sebring,Sebring,3,1,TRUE,time,30,
Ferrari Challenge North America,Daytona_Road_Course,Daytona,4,1,TRUE,time,30,
Ferrari Challenge North America,Indianapolis_2022_RC,Indianapolis,5,1,TRUE,time,30,
Ferrari Challenge North America,Watkins_Glen_GP,The Glen,6,1,TRUE,time,30,
Ferrari Challenge North America,Road_America_RC,Road America,7,3,FALSE,time,30,
Ferrari Challenge North America,Laguna_Seca_2020,Laguna Seca,8,2,TRUE,time,30,
Ferrari Challenge North America,Mosport,Motorsport Park,9,1,FALSE,time,30,
Ferrari Challenge North America,Bathurst_2020,Bathurst Special,9,2,FALSE,time,30,
Ferrari Challenge North America,Imola_GP_2018,Finale at Imola,10,3,TRUE,time,30,
Formula 1,Kansai_GP,Japanese Grand Prix,3,2,TRUE,laps,53,
Formula 1,Kyalami_2019,South African Grand Prix,3,4,TRUE,laps,67,
Formula 1,Imola_GP_2018,Gran Premio dell'Emilia-Romagna,4,2,TRUE,laps,63,
Formula 1,Azure_Circuit_2021,Grand Prix de Monaco,5,1,TRUE,laps,78,
Formula 1,Hungaroring_GP_2025,Hungarian Grand Prix,5,2,FALSE,laps,70,
Formula 1,Circuit_de_Catalunya_GP_NC,Gran Premio de España,5,3,TRUE,laps,66,
Formula 1,Montreal_Modern,Grand Prix du Canada,6,1,TRUE,laps,70,
Formula 1,Watkins_Glen_GP,United States Grand Prix East,6,2,TRUE,laps,56,
