name,elo,principal,driver_loyalty,expectation_delta
Solari Motorworks,1650,Marcus Thornhill,,
Titanium Endurance Racing,1620,Laurent Beaumont,,
Orion Automotive,1640,Wolfgang Bauer,,
Nexus Prototype Racing,1580,Elena Rodriguez,,
Zenith Autosport,1600,James Harrington,,
Nova Aero,1420,Yuki Tanaka,,
Catalyst Motorsports,1400,Adriana Silva,,
Atlas Racing Group,1340,Dimitri Volkov,,
Garnet Motorsport,1330,Amanda Pearson,,
Ironwood Performance,1365,Olivia Zhang,,
Vanguard Motorsport Group,1700,Sebastian Wolff,,
Stuttgart Performance Engineering,1700,Sebastian Wolff,,
Blackwood Racing Systems,1620,Marco Bianchi,,
Apex Precision Competizione,1660,Lars Eriksen,,
Kaiser-Wolff Racing,1680,Pieter van Dijk,,
Rennsport Global Division,1680,Pieter van Dijk,,
Vector Dynamics Racing,1640,Pierre Lefèvre,,
Elysium GT Racing,1670,Alexander Hayes,,
Circuitus Legacy Racing,1580,Maria Gonzales,,
Schwarzwald Racing Group,1600,Kristina Novak,,
Blue Ridge Mini Team,1450,Tyler Brooks,,
Liberty Motorsports,1440,Benjamin Wright,,
Atlantic Racing Union,1500,Liam O'Connor,,
Scuderia Corsa International,1520,Anthony Russo,,
Maranello Global Partners,1490,David Chen,,
Exotic Motors Alliance,1480,Robert Harrison,,
Cavalieri Rosso Group,1590,William Kowalski,,
Heritage Racing Collective,1470,James Patterson,,
Tridente Global Competizione,1500,Thomas Wright,,
Fox-Davies Preparations,1480,Robert Fox-Davies,,
Cotswold Precision Racing,1490,Sarah Mitchell,,
TCR,1510,David Thompson,,
Sterling Performance Group,1505,James Sterling,,
Pendle Hill Motorsport,1475,Andrew Harrison,,
Apex-Works North,1495,Michael Ashworth,,
Breakell-Lane Engineering,1485,Peter Breakell,,
Velocity UK Developments,1500,Emma Richardson,,
Meridian Cup Racing,1492,Christopher Wade,,
High Plains Speedworks,1488,Marcus Webb,,
Palmetto State Racing,1502,Travis Coleman,,
Summit Peak Motorsports,1515,Rebecca Sawyer,,
Brickyard Performance Lab,1525,Alan Foster,,
Gulf Coast Competition,1495,Miguel Rodriguez,,
Granite State Garage,1478,Dale Winters,,
Lone Star Aero-Sport,1510,Carson Hayes,,
Golden Gate Racing Group,1520,Jennifer Chen,,
Bayside Trackside Services,1485,Tommy Sullivan,,
Eiger Sport Management,1535,Stefan Müller,,
Adria Motorsport Venture,1515,Matteo Valenti,,
Alpine Track Operations,1545,Olivier Bernard,,
Via-Marelli Competizione,1495,Isabella Marelli,,
Arcane Racing Group,1555,Jasper van der Meer,,
Kinetix European Racing,1505,Lukas Bergmann,,
Sovereign GT Stable,1560,Alistair Thorne,,
Vitesse Pro-Racing,1480,Jean-Paul Laurent,,
Lemanic Motorsport,1525,Christophe Dumont,,
Astraea Endurance,1510,Eleni Papadakis,,
Red Bull Racing,1990,Laurent Mekies,,
Mercedes-AMG,1980,Toto Wolff,,
Scuderia Ferrari,1970,Frédéric Vasseur,,
McLaren Racing,2010,Zac Brown,,
Aston Martin,1900,Andy Cowell,,
Alpine,1800,Steve Nielsen,,
Audi,1820,Jonathan Wheatley,,
Racing Bulls,1850,Alan Permane,,
Haas,1840,Ayao Komatsu,,
Williams Racing,1860,James Vowles,,
Vauquelin Grand Prix,1782,Marc-André Vauquelin,,
Scuderia Valeriani,1645,Luca Valeriani,,
Nordic Speed Academy,1590,Søren Lindberg,,
Ecurie Belge Developpement,1712,Guy Hendrickx,,
Reinhardt Rennsport,1795,Klaus Reinhardt,,
Luzern Precision Engineering,1620,Beat Steiner,,
Aragon Motorsport United,1545,Javier Solana,,
Thames Valley Preparations,1688,Arthur Miller,,
Vistula Racing Lab,1512,Mateusz Zieliński,,
Helvetia Junior Team,1754,Stefan Eberhard,,
Olympus Euro-Racing,1578,Adonis Karalis,,
Cote d'Azur Competizione,1605,Fabien de Rossi,,
Pannonian Speed Group,1533,László Kovács,,
Team Penske,1800,Jonathan Diuguid,,
Chip Ganassi Racing,1785,Chip Ganassi,,
Andretti Global,1770,Dan Towriss,,
A. J. Foyt Racing,1755,Larry Foyt,,
Rahal Letterman Lanigan Racing,1735,Bobby Rahal,,
Meyer Shank Racing,1715,Michael Shank,,
Ed Carpenter Racing,1675,Ed Carpenter,,
Dale Coyne Racing,1655,Dale Coyne,,
Juncos Hollinger Racing,1635,Ricardo Juncos,,
Prema Racing,1620,Piers Phillips,,
Dreyer & Reinbold Racing,1600,Dennis Reinbold,,
HMD Motorsports,1580,Mike Maurini,,
Abel Motorsports,1560,Bill Abel,,
Cape Motorsports,1540,Nicholas Cape,,
Cusick Morgan Motorsports,1520,Don Cusick,,
Loomis-Vance Racing,1500,Sterling Vance,,
The 405 Garage,1490,James McAllister,,
Sawgrass Performance Group,1480,Elena Rodriguez,,
Flint Hills Raceworks,1470,Caleb Sterling,,
Garrison-Hague Motorsport,1460,Alistair Hague,,
Thunderhead Motorsports,1860,Dale Hutchins,,
Red Canyon Racing,1820,Bobby Tremayne,,
Ironclad Racing Group,1795,Sherry Calloway,,
Blue Ridge Speed Co.,1770,Frank Delacroix,,
Stallion Motorsports,1735,Tammy Burkhart,,
Copperhead Racing,1700,Randy Weston,,
Dustbowl Performance,1675,Cindy Ortega,,
Flatland Autosport,1640,Jerry Stonebridge,,
Lone Star Racing Team,1605,Don Beauchamp,,
Ridgeline Motorsports,1580,Patricia Dunmore,,
Buckshot Racing Group,1545,Earl Magnusson,,
Frontier Speed Works,1510,Loretta Vance,,
Hardtack Motorsports,1480,Tommy Briscoe,,
Piedmont Racing Co.,1450,Sandra Wexler,,
Sunbelt Autosport,1420,Hank Figueroa,,
Gravel Pit Racing,1390,Nora Thibodeau,,
KTF Racing,1550,Leandro Reis,,
KTF Sports,1401,Paulo Reales,,
Pole Motorsport,1465,Joselmo Barcik,,
TMG Racing,1431,Thiago Meneghel,,
Cavaleiro Sports,1401,Beto Cavaleiro,,
Vogel Motorsport,1499,Mauro Vogel,,
Blau Motorsport,1492,Marcelo Hahn,,
Eurofarma RC,1494,Rosinei Campos,,
Wokin Garra Racing,1598,Carlos Ortiz,,
RCM Motorsport,1521,Marcel Campos,,
Ipiranga Racing,1540,Diego Ramos,,
Crown Racing,1471,William Lube,,
Full Time Bassani,1491,Eduardo Bassani,,
MOBIL ALE,1483,Andrea Gomes,,
Escuderia Bandeirantes,1340,Chico Landi,,
Scuderia Chiarelli,1378,Carlos Chiarelli,,
Leo Panthera Autosports,1487,Cassandra Wolfe,,
Team Hudson Hire Racing,1421,Brett Nakamura,,
Apex Motorsports,1374,Sienna Marchetti,,
Dev Star Racing,1456,Omar Fjelstad,,
Reiza Racing,1309,Priya Delacroix,,
Team Racer Rubber,1338,Angus Lefevre,,
Team Redlight,1465,Valentina Cruz,,
Bebeto Tyres,1392,Jack Okonkwo,,
Eagle Ray Motorsport,1443,Nadia Sorensen,,
Brookfield Motorsports,1357,Douglas Hartwell,,
Mobius Autosports,1418,Yuki Brennan,,
Brabham Racing Organisation,1457,Jack Brabham,,
Cooper Car Company,1367,Charles Cooper,,
Owen Racing Organisation,1372,Raymond Mays,,
Anglo American Racers,1436,Dan Gurney,,
Reg Parnell Racing,1374,Reg Parnell,,
Scuderia Scribante,1499,Aldo Scribante,,
Matra Sports,1423,Jean-Luc Lagardère,,
Team Lotus,1590,Colin Chapman,,
Honda Racing,1598,Nobuhiko Kawamoto,,
Martini Racing,1592,John Tanner,,
Lucky Strike Racing,1385,Georges Reynolds,,
