name,categories,prestige,points,pit_stop,start_type,field_type,parc_ferme,events_count,tags,init_month,init_day,registration_start_month,registration_start_day,registration_end_month,registration_end_day,start_year,end_year,default_included,intro
Formula 1,F-Ultimate_Gen2,100,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,identical,TRUE,16,"Open Wheel, World, F1",1,3,1,12,1,19,,,TRUE,"This is it, the best drivers in the fastest cars, ground-effects, ERS, DRS, nearly a thousand horsepower. If you can control the lightning-fast acceleration and cornering in these cars, you can drive anything. The racing here will demand all your speed, your positioning and your ability to battle, the ultimate prize awaits the driver who can master them."
World Endurance Championship,"LMDh, GT3_Gen2",98,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,TRUE,8,"Multiclass, GT, Prototype, World, WEC",1,3,1,12,1,19,,,TRUE,"This is the final test of your endurance skills, whether you're an LMDh specialist with 600hp hybrids, or a GT3 Gen2 star scrapping with over 500hp delivered the old-fashioned way. Whichever you're driving, the overall winner is the driver that doesn't break down, crash, or chew through too much rubber. Keep calm and prepare yourself."
IMSA WeatherTech SportsCar Championship,"LMDh, LMP2, GT3_Gen2",96,"350, 320, 300, 280, 260, 250, 240, 230, 220, 210, 200, 190, 180, 170, 160, 150, 140, 130, 120, 110, 100, 90, 80, 70, 60, 50, 40, 30, 20, 10",TRUE,rolling,,TRUE,11,"Multiclass, GT, Prototype, North America, IMSA",1,3,1,12,1,19,,,TRUE,"Welcome to the American Dream of Sportscar racing, where you'll do battle amongst LMPs, LMDhs and the latest GT3s to try and claim the crown. There are grand prixes, sprints and endurance races to test your mettle throughout the season. Top level racers congregate here and they will make you fight for every position."
NTT IndyCar,F-USA_2023,94,"50, 40, 35, 32, 30, 28, 26, 24, 22, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,FALSE,16,"Open Wheel, North America, Indy",1,3,1,12,1,19,,,TRUE,"The USA's premier open-cockpit series features twin-turbo V6 cars, over 700hp, slippery, high-speed frames and push-to-pass systems. This is the ultimate showcase of American Formula racing, with ovals, street circuits and classic GP tracks. This competition is not for the faint-hearted, or the reckless, good luck and good racing."
Formula 2,F-Reiza,91,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,identical,TRUE,12,"Open Wheel, World, F1",1,3,1,12,1,19,,,TRUE,"The road to F1 culminates in this all-or-nothing championship, featuring energy management, 4G cornering and DRS. These skinny-winged, lightweight rockets are incredibly sensitive and responsive, and the standard of driving required to tame these beasts is exceptionally high. Score high in this series and you might be ready for the very top."
GT World Challenge Europe,GT3_Gen2,90,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,TRUE,10,"GT, Europe, SRO",1,3,1,12,1,20,,,TRUE,"The GT3 Championship comes to Europe for a huge variety pack of sprints, long races and even a full 24 feature. Much like the high-powered, high-downforce cars in this tournament, the mixed format offers a lot of points for drivers who can adapt to different race lengths and keep finishing well. Keep in scoring positions and you'll bag silverware."
Intercontinental GT Challenge,GT3_Gen2,88,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,TRUE,5,"GT, World, SRO",1,3,1,12,1,19,,,TRUE,"This competition is the full-fat endurance roster for the GT3s, and these Gen 2 machines will be expected to be driven across 12 hour runs, 1000km hurdles and 24 hour marathons. Ensure you get plenty of practice in, dial in your setup, choose your pit strategies carefully, and concentrate on finishing the race. Plan ahead and the points will follow."
GT World Challenge America,GT3_Gen2,85,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,TRUE,7,"GT, North America, SRO",1,3,1,12,1,20,,,,"Big grids, big wings and big tracks are the name of the game in this American GT3 championship, the second generation cars all feature generous amounts of downforce, traction control, ABS and a variety of powertrains that duel with well over 500hp. You'll have to learn your car's advantages and weaknesses quickly, and maximise what you have to win."
European Le Mans Series,"GT3, P1Gen2, LMP2_Gen1",84,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,TRUE,6,"Multiclass, GT, Prototype, Europe, WEC",1,3,1,12,1,20,,,TRUE,"Just below the top rungs of endurance formats sits this contest, which throws in two different classes of prototypes to blast around a group of GT3 cars. The field can get snarled up very easily here, so avoiding collisions and off-track incidents is a must, tidy racing and watching out for safety cars can quickly turn the advantage your way!"
Porsche Carrera Supercup,Carrera Cup,83,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,TRUE,8,"GT, One Make, Europe",1,3,1,12,1,20,,,TRUE,"This is one of the official support series for the F1 calendar, and even if the 911 Cup cars aren't quite as fast as the main feature, they still attract prestigious talent and bring out some truly electric racing. Like any one-make series you are the main factor in edging out positions over your opponents, and the cleaner your drive, the bigger your rewards."
Nürburgring Langstrecken-Serie,"GT3_Gen2, GT4",82,"15,11,8,6,4,3,2,1",TRUE,rolling,,FALSE,8,"GT, Multiclass, Europe",1,3,1,12,1,20,,,,"Eight rounds of racing, full grids of GT machinery, 24 hours at the longest circuit in motor-racing today. The Green Hell will break cars and their drivers across one of the most gruelling endurance formats, you need lots of concentration, clean driving, and plenty of luck to make it to the end. Finishing is a win, anything above is a bonus."
