team_name,category,model,livery,championship_names,livery_id,model_folder
A. J. Foyt Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #06,NTT IndyCar,57,formula_usa_2023
A. J. Foyt Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #55,NTT IndyCar,78,formula_usa_2023
A. J. Foyt Racing,F-USA_Gen3,Lola B2K00 Ford-Cosworth,Lola B2K00 Ford-Cosworth #11,Indy NXT,52,cart_lola_b2k00_ford
A. J. Foyt Racing,F-USA_Gen3,Lola B2K00 Ford-Cosworth,Lola B2K00 Ford-Cosworth #29,Indy NXT,53,cart_lola_b2k00_ford
A. J. Foyt Racing,F-3,Dallara F309,Power On Racing #86,USF Pro 2000,67,f309
A. J. Foyt Racing,F-3,Dallara F309,Prop Racing #17,USF Pro 2000,58,f309
A. J. Foyt Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #82,USF2000,69,formula_inter
A. J. Foyt Racing,F-Inter,Formula Inter MG-15,F.Inter MG-15 #91,USF2000,70,formula_inter
Abel Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #33,USF2000,66,formula_inter
Abel Motorsports,F-Inter,Formula Inter MG-15,F.Inter MG-15 #36,USF2000,67,formula_inter
Abel Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #14,USF Juniors,64,formula_trainer_d
Abel Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #15,USF Juniors,65,formula_trainer_d
Abel Motorsports,F-Trainer,Formula Trainer,Formula Trainer #22 - F.Scomasson Skin,F1600,72,formula_trainer
Abel Motorsports,F-Trainer,Formula Trainer,Formula Trainer #23 - N.Otten Skin,F1600,73,formula_trainer
Abel Motorsports,F-Vee_Gen2,Formula Vee Gen2,Andre Crocci #6,Formula Vee North America,54,formula_vee_gen2
Abel Motorsports,F-Vee_Gen2,Formula Vee Gen2,Davi Osachuki #35,Formula Vee North America,60,formula_vee_gen2
Pennine Raceworks,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #48,Lamborghini Super Trofeo Europe,65,lamborghini_huracan_supertrofeo_evo2
Pennine Raceworks,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #50,Lamborghini Super Trofeo Europe,66,lamborghini_huracan_supertrofeo_evo2
Pennine Raceworks,LMDh,Aston Martin Valkyrie Hypercar,Aston Martin Valkyrie Hypercar #007,World Endurance Championship,52,aston_martin_valkyrie_lmh
Pennine Raceworks,LMDh,Aston Martin Valkyrie Hypercar,Aston Martin Valkyrie Hypercar #009,World Endurance Championship,53,aston_martin_valkyrie_lmh
Pennine Raceworks,GT3_Gen2,Audi R8 LMS GT3 evo II,Audi R8 LMS GT3 evo II #87,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe",54,audi_r8_lms_gt3_evo2
Pennine Raceworks,GT3_Gen2,Audi R8 LMS GT3 evo II,Audi R8 LMS GT3 evo II #28,"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe",52,audi_r8_lms_gt3_evo2
Pennine Raceworks,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #22,"European Le Mans Series, Michelin Le Mans Cup",51,audi_r8_lms_gt3
Pennine Raceworks,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #69,"European Le Mans Series, Michelin Le Mans Cup",52,audi_r8_lms_gt3
Pennine Raceworks,LMP2_Gen1,Ligier JS P217,Ligier JS P217 #10,European Le Mans Series,51,ligier_js_p217
Pennine Raceworks,P4,MCR S2000,MCR S2000 #3,Radical Cup Europe,52,mcr2000
Pennine Raceworks,P4,MCR S2000,MCR S2000 #4,Radical Cup Europe,53,mcr2000
